id,title,release_date,genre_ids,vote_average,vote_count,budget,revenue,directors,production_companies
660867,Forky Asks a Question: What Is Cheese?,2020-01-03,"[16, 10751, 35]",6.2,73,0,0,Bob Peterson,Pixar
660866,Forky Asks a Question: What Is a Pet?,2019-12-27,"[16, 10751, 35]",5.7,61,0,0,Bob Peterson,Pixar
660862,Forky Asks a Question: What Is a Leader?,2019-12-20,"[16, 10751, 35]",5.6,59,0,0,Bob Peterson,Pixar
660861,Forky Asks a Question: What Is a Computer?,2019-12-13,"[16, 10751, 35]",5.8,62,0,0,Bob Peterson,Pixar
574091,Wind,2019-12-13,"[16, 10751, 14]",7.2,150,0,0,Edwin Chang,Pixar
660859,Forky Asks a Question: What Is Love?,2019-12-06,"[16, 10751, 35]",6.3,76,0,0,Bob Peterson,Pixar
660858,Forky Asks a Question: What Is Time?,2019-11-29,"[16, 10751, 35]",6.0,68,0,0,Bob Peterson,Pixar
660856,Forky Asks a Question: What Is Art?,2019-11-22,"[16, 10751, 35]",5.8,79,0,0,Bob Peterson,Pixar
660855,Forky Asks a Question: What Is a Friend?,2019-11-15,"[16, 10751, 35]",6.2,85,0,0,Bob Peterson,Pixar
660851,Forky Asks a Question: What Is Money?,2019-11-12,"[16, 10751, 35]",6.0,98,0,0,Bob Peterson,Pixar
574093,Float,2019-11-12,"[16, 18, 10751]",7.3,278,0,0,Bobby Rubio,Pixar
574074,Kitbull,2019-01-18,"[16, 10751, 18]",8.0,372,0,0,Rosana Sullivan,Pixar
532953,Purl,2019-01-18,"[16, 35]",6.7,304,0,0,Kristen Lester,Pixar
532952,Smash and Grab,2019-01-18,"[16, 878]",6.6,170,0,0,Brian Larsen,Pixar
574089,Loop,2019-01-10,"[16, 10751]",6.7,193,0,0,Erica Milsom,Pixar
260513,Incredibles 2,2018-06-14,"[28, 12, 16, 10751]",7.454,13006,200000000,1242805359,Brad Bird,"Walt Disney Pictures, Pixar"
433471,Lou,2017-06-16,"[10751, 14, 16, 35]",7.523,396,0,0,Dave Mullins,Pixar
260514,Cars 3,2017-06-15,"[10751, 16, 12, 35]",6.8,5966,175000000,383925276,Brian Fee,Pixar
449621,Dante's Lunch,2017-03-29,"[16, 35]",6.8,66,0,0,"Lee Unkrich, Jason Katz",Pixar
427004,Marine Life Interviews,2016-11-15,"[16, 10751, 35]",6.2,75,0,0,Ross Stevenson,Pixar
345637,Sanjay's Super Team,2015-11-18,"[16, 10751, 14, 28]",6.4,259,0,0,Sanjay Patel,Pixar
370082,Mind Candy,2015-11-03,[16],3.1,5,0,0,Ross Haldane Stevenson,Pixar
355338,Riley's First Date?,2015-11-03,"[16, 10751]",7.2,1067,0,0,Josh Cooley,Pixar
822119,Captain America: Brave New World,2025-02-12,"[28, 53, 878]",6.1,1106,180000000,400056272,Julius Onah,"Marvel Studios, Kevin Feige Productions"
1387507,Marvel Studios Assembled: The Making of Agatha All Along,2024-11-13,[99],9.5,3,0,0,Brad Baruh,"Marvel Studios, M3 Creative"
1386628,Marvel Studios Assembled: The Making of Deadpool & Wolverine,2024-11-12,[99],6.8,16,0,0,Brad Baruh,"Marvel Studios, M3 Creative"
533535,Deadpool & Wolverine,2024-07-24,"[28, 35, 878]",7.6,6935,200000000,1338073645,Shawn Levy,"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment"
1275606,Marvel Studios Assembled: The Making of X-Men '97,2024-05-21,[99],5.9,8,0,0,Brad Baruh,"Marvel Studios, M3 Creative"
1235525,Marvel Studios Assembled: The Making of The Marvels,2024-02-06,[99],5.6,8,0,0,,Marvel Studios
1220337,Marvel Studios Assembled: The Making of Echo,2024-01-31,[99],6.1,7,0,0,Brad Baruh,Marvel Studios
1192825,Marvel Studios Assembled: The Making of Loki Season 2,2023-11-22,[99],7.1,15,0,0,Brad Baruh,Marvel Studios
609681,The Marvels,2023-11-08,"[878, 12, 28]",6.0,2878,274800000,207089999,Nia DaCosta,"Marvel Studios, Kevin Feige Productions"
1165500,Marvel Studios Assembled: The Making of Secret Invasion,2023-09-19,[99],5.0,24,0,0,Brad Baruh,Marvel Studios
1165487,Marvel Studios Assembled: The Making of the Guardians of the Galaxy Vol. 3,2023-09-12,[99],6.3,13,0,0,Brad Baruh,Marvel Studios
1127361,Marvel Studios Assembled: The Making of Ant-Man and the Wasp: Quantumania,2023-07-19,[99],6.2,16,0,0,Brad Baruh,Marvel Studios
717082,Stan Lee,2023-06-10,[99],7.2,82,0,0,David Gelb,"Supper Club, Marvel Studios"
447365,Guardians of the Galaxy Vol. 3,2023-05-03,"[878, 12, 28, 35]",7.9,7217,250000000,845600000,James Gunn,"Marvel Studios, Kevin Feige Productions"
640146,Ant-Man and the Wasp: Quantumania,2023-02-15,"[28, 12, 878]",6.3,5192,388369742,476071180,Peyton Reed,"Marvel Studios, Kevin Feige Productions"
1076032,Marvel Studios Assembled: The Making of Black Panther: Wakanda Forever,2023-02-07,[99],6.8,45,0,0,Brad Baruh,Marvel Studios
774752,The Guardians of the Galaxy Holiday Special,2022-11-24,"[35, 878, 12]",7.12,2098,0,0,James Gunn,"Marvel Studios, Kevin Feige Productions, Troll Court Entertainment"
505642,Black Panther: Wakanda Forever,2022-11-09,"[28, 12, 878]",7.068,6729,250000000,859102154,Ryan Coogler,Marvel Studios
1036996,Director by Night,2022-11-04,[99],6.2,21,0,0,Anthony Giacchino,"Marvel Studios, Time Travel Unlimited"
1026208,Marvel Studios Assembled: The Making of She-Hulk: Attorney at Law,2022-11-03,[99],7.06,50,0,0,Brad Baruh,Marvel Studios
894205,Werewolf by Night,2022-09-25,"[28, 14, 27]",6.986,1332,0,0,Michael Giacchino,"Marvel Studios, Kevin Feige Productions"
1015595,Marvel Studios Assembled: The Making of Thor: Love and Thunder,2022-09-08,[99],7.0,40,0,0,Brad Baruh,Marvel Studios
1010821,Groot Takes a Bath,2022-08-10,"[16, 10751, 35, 878]",7.1,349,0,0,Kirsten Lepore,Marvel Studios
1010820,Groot's Pursuit,2022-08-10,"[16, 10751, 35, 878]",7.1,265,0,0,Kirsten Lepore,Marvel Studios
1010819,The Little Guy,2022-08-10,"[16, 10751, 35, 878]",7.312,274,0,0,Kirsten Lepore,Marvel Studios
1010818,Groot's First Steps,2022-08-10,"[16, 10751, 35, 878]",7.0,346,0,0,Kirsten Lepore,"Luma Pictures, Marvel Studios"
1001912,Marvel Studios Assembled: The Making of Ms. Marvel,2022-08-03,[99],7.0,30,0,0,Brad Baruh,Marvel Studios
1010823,Magnum Opus,2022-07-18,"[16, 10751, 878, 35]",7.3,264,0,0,Kirsten Lepore,Marvel Studios
980017,Marvel Studios Assembled: The Making of Doctor Strange in the Multiverse of Madness,2022-07-07,[99],7.2,43,0,0,Brad Baruh,Marvel Studios
616037,Thor: Love and Thunder,2022-07-06,"[14, 28, 35]",6.4,7814,250000000,760900000,Taika Waititi,"Marvel Studios, Kevin Feige Productions"
979160,A Fan's Guide to Ms. Marvel,2022-06-01,[99],7.0,71,0,0,,Marvel Studios
964943,Marvel Studios Assembled: The Making of Moon Knight,2022-05-24,[99],7.1,39,0,0,Brad Baruh,Marvel Studios
453395,Doctor Strange in the Multiverse of Madness,2022-05-04,"[14, 28, 12]",7.3,9418,200000000,955775804,Sam Raimi,"Marvel Studios, Kevin Feige Productions"
939356,Marvel Studios Assembled: The Making of Eternals,2022-02-16,[99],7.3,52,0,0,Bradley Hogan,Marvel Studios
936643,Marvel Studios Assembled: The Making of Hawkeye,2022-02-09,[99],7.0,43,0,0,Brad Baruh,Marvel Studios
634649,Spider-Man: No Way Home,2021-12-15,"[28, 12, 878]",7.947,20616,200000000,1921847111,Jon Watts,"Marvel Studios, Pascal Pictures, Columbia Pictures"
877188,Marvel Studios' 2021 Disney+ Day Special,2021-11-12,[99],7.0,29,0,0,,Marvel Studios
524434,Eternals,2021-11-03,"[878, 28, 12]",6.8,8472,200000000,402064899,Chloé Zhao,Marvel Studios
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,"[28, 12, 14]",7.525,9628,150000000,432243292,Destin Daniel Cretton,Marvel Studios
497698,Black Widow,2021-07-07,"[28, 12, 878]",7.2,10406,200000000,379751131,Cate Shortland,Marvel Studios
647375,Marvel Studios: Expanding the Universe,2019-11-12,[99],5.8,26,0,0,,Marvel Studios
758025,Peter's To-Do List,2019-09-17,"[878, 28, 12]",7.0,79,0,0,Jon Watts,"Marvel Studios, Pascal Pictures, Columbia Pictures"
429617,Spider-Man: Far From Home,2019-06-28,"[28, 12, 878]",7.411,15971,160000000,1131927996,Jon Watts,"Marvel Studios, Pascal Pictures, Columbia Pictures"
299534,Avengers: Endgame,2019-04-24,"[12, 878, 28]",8.2,26163,356000000,2799439100,"Joe Russo, Anthony Russo",Marvel Studios
299537,Captain Marvel,2019-03-06,"[28, 12, 878]",6.803,15947,152000000,1131416446,"Ryan Fleck, Anna Boden",Marvel Studios
363088,Ant-Man and the Wasp,2018-07-04,"[28, 12, 878]",6.9,13486,140000000,622674139,Peyton Reed,Marvel Studios
299536,Avengers: Infinity War,2018-04-25,"[12, 28, 878]",8.2,30335,300000000,2052415039,"Anthony Russo, Joe Russo",Marvel Studios
505945,Team Darryl,2018-02-20,[35],6.2,162,0,0,Taika Waititi,Marvel Studios
284054,Black Panther,2018-02-13,"[28, 12, 878]",7.374,22458,200000000,1349926083,Ryan Coogler,Marvel Studios
284053,Thor: Ragnarok,2017-10-02,"[28, 12, 878]",7.585,21020,180000000,855301806,Taika Waititi,Marvel Studios
